Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Castle in the Air,Diana Wynne Jones,"",9780064473453,paperback,to-read,2021/03/16,"","",0,"",,,,,,,,,"",,"",No
Through the Woods,E.M. Carroll,E.M. Carroll (Illustrator),9781442465954,hardcover,read,2021/03/17,"","",1,"",,,,,,,4.0,,"",,"",No
The Atlas Paradox,Olivie Blake,"",9781250855091,hardcover,to-read,2023/01/02,"","",0,"",,,,,,,,,"",,"",No
Evenings and Weekends,Oisín McKenna,"",9780008604189,paperback,to-read,2025/03/26,"","",0,"",,,,,,,,,"",,"",No
Open Water,Caleb Azumah Nelson,"",9780241448779,hardcover,to-read,2024/06/13,"","",0,"",,,,,,,,,"",,"",No
Lessons in Chemistry,Bonnie Garmus,"",9780385547345,hardcover,to-read,2023/12/27,"","",0,"",,,,,,,,,"",,"",No
Big Swiss,Jen Beagin,"",9781982153083,hardcover,read,2023/02/13,2023/09/05,2023/08/21-2023/09/05,1,"",,,,,,,,,"",,"",No
Death's End,Cixin Liu,Ken Liu (Translator),9780765377104,hardcover,read,2023/12/09,2024/04/30,2024/04/07-2024/04/30,1,"",,,,,,,,,"",,"",No
On a Sunbeam,Tillie Walden,"",9781250178138,paperback,to-read,2021/08/03,"","",0,"",,,,,,,,,"",,"",No
Catching Fire,Suzanne Collins,"",9780439023498,hardcover,read,2023/12/16,2023/12/16,2023/12/12-2023/12/16,1,"",,,,,,,,,"",,"",No
The Kind Worth Killing,Peter Swanson,"",9780062267528,hardcover,to-read,2024/12/13,"","",0,"",,,,,,,,,"",,"",No
Cleopatra and Frankenstein,Coco Mellors,"",9781635576818,hardcover,to-read,2024/06/13,"","",0,"",,,,,,,,,"",,"",No
Bunny,Mona Awad,"",9780525559733,hardcover,to-read,2023/02/08,"","",0,"",,,,,,,,,"",,"",No
They Both Die at the End,Adam Silvera,"",9780062457790,hardcover,to-read,2022/07/30,"","",0,"",,,,,,,,,"",,"",No
Sharp Objects,Gillian Flynn,"",9780307341549,hardcover,read,2021/03/16,"","",1,"",,,,,,,3.0,,"",,"",No
The Sea of Monsters,Rick Riordan,"",9780786856862,hardcover,read,2021/08/09,"","",1,"",,,,,,,,,"",,"",No
Funny Farm: My Unexpected Life with 600 Rescue Animals,Laurie Zaleski,"",9781250272836,hardcover,to-read,2022/05/30,"","",0,"",,,,,,,,,"",,"",No
The Castle of Otranto,Horace Walpole,"",9780192834409,paperback,to-read,2022/03/29,"","",0,"",,,,,,,,,"",,"",No
The Therapy of Desire: Theory and Practice in Hellenistic Ethics,Martha C. Nussbaum,"",9780691000527,paperback,to-read,2025/03/30,"","",0,"",,,,,,,,,"",,"",No
Spirit Fingers,Gyeong-Chal Han,"","",digital,read,2021/05/03,"","",1,"",,,,,,,,,"",,"",No
A Court of Thorns and Roses,Sarah J. Maas,"",9781619634442,hardcover,read,2022/08/13,2022/08/13,2022/08/13-2022/08/13,1,"",,,,,,,,,"",,"",No
"Kim Jiyoung, Born 1982",Cho Nam-joo,Jamie Chang (Translator),9781631496707,hardcover,to-read,2022/09/19,"","",0,"",,,,,,,,,"",,"",No
The Stepford Wives,Ira Levin,"",9780060080846,paperback,read,2021/12/20,"","",1,"",,,,,,,,,"",,"",No
Scott Pilgrim's Precious Little Life,Bryan Lee O’Malley,"",9780007930791,paperback,to-read,2021/03/17,"","",0,"",,,,,,,,,"",,"",No
Young Mungo,Douglas Stuart,"",9780802159557,hardcover,to-read,2023/08/09,"","",0,"",,,,,,,,,"",,"",No
All of Us Together in the End,Matthew Vollmer,"",9798885740050,paperback,to-read,2024/03/20,"","",0,"",,,,,,,,,"",,"",No
Dawn,Octavia E. Butler,"",9780446603775,paperback,to-read,2022/02/05,"","",0,"",,,,,,,,,"",,"",No
John Dies at the End,David Wong,Jason Pargin,9780978970765,paperback,to-read,2024/12/13,"","",0,"",,,,,,,,,"",,"",No
Bright Young Women,Jessica Knoll,"",9781501153228,hardcover,to-read,2023/09/28,"","",0,"",,,,,,,,,"",,"",No
Hell Bent,Leigh Bardugo,"",9781250313102,hardcover,to-read,2023/02/13,"","",0,"",,,,,,,,,"",,"",No
Book Lovers,Emily Henry,"",9780593440872,hardcover,read,2023/03/03,2023/03/03,2023/03/01-2023/03/03,1,"",,,,,,,,,"",,"",No
In Praise of Failure: Four Lessons in Humility,Costica Bradatan,"",9780674970472,hardcover,to-read,2023/03/17,"","",0,"",,,,,,,,,"",,"",No
The Secret Life of Bees,Sue Monk Kidd,"",9780142001745,paperback,to-read,2024/04/21,"","",0,"",,,,,,,,,"",,"",No
Man's Search for Meaning,Viktor E. Frankl,"Isle Lasch (Translator), Harold S. Kushner (Contributor), William J. Winslade (Contributor)",9780807014295,paperback,read,2023/07/29,2023/11/09,2023/10/09-2023/11/09,1,"",,,,,,,,,"",,"",No
Elektra,Jennifer Saint,"",9781472273918,hardcover,to-read,2023/08/09,"","",0,"",,,,,,,,,"",,"",No
The Prince and the Dressmaker,Jen Wang,"",9781626723634,paperback,to-read,2021/03/16,"","",0,"",,,,,,,,,"",,"",No
Bluets,Maggie Nelson,"",9781933517407,paperback,to-read,2024/10/28,"","",0,"",,,,,,,,,"",,"",No
Paul Takes the Form of a Mortal Girl,Andrea Lawlor,"",9780525566182,paperback,to-read,2024/04/01,"","",0,"",,,,,,,,,"",,"",No
"Beautiful World, Where Are You",Sally Rooney,"",9780374602604,hardcover,read,2022/02/02,2023/01/03,2023/01/03-2023/01/03,1,"",,,,,,,,,"",,"",No
The Cabinet,Un-su Kim,Sean Lin Halbert (Translator),9780857669179,paperback,read,2022/01/04,2022/12/21,2022/01/04-2022/12/21,1,"",,,,,,,,,"",,"",No
Iron Widow,Xiran Jay Zhao,"",9780735269934,hardcover,read,2022/02/07,2022/06/21,2022/06/21-2022/06/21,1,"dark, tense, mysterious, emotional, adventurous",fast,Character,Yes,Yes,Yes,No,4.5,"<div>This book explored anger towards the systems/people that hurt us in such a realistic way. Even though there was love and redemption in this world, the story still reckoned with how we deal with things that are unforgivable. The book was also unapologetic about everything in a very satisfying way: the rage and violent revenge,&nbsp; the straight up unacceptable state of the world, and the <em>&lt;spoiler&gt;</em>queerness<em><br> </em>of characters<em>&lt;/spoiler&gt;.</em> It was super fast paced with super cool mecha fights. It also had my favorite type of love triangle (<em>&lt;spoiler&gt;All three of them get together!&lt;/spoiler&gt;).</em></div>","","","",No
Rent Spill,Tove Jansson,Gunnel Malmström (Translator),9788203163432,hardcover,to-read,2021/08/12,"","",0,"",,,,,,,,,"",,"",No
The Very Nice Box,"Laura Blackett, Eve Gleichman","",9780358540113,hardcover,read,2022/12/01,2022/12/08,2022/12/08-2022/12/08,1,"",,,,,,,,,"",,"",No
Girlfriend in a Coma,Douglas Coupland,"",9780060987329,paperback,read,2023/08/18,2023/08/18,2023/08/13-2023/08/18,1,"",,,,,,,,,"",,"",No
Boy Parts,Eliza Clark,"",9781910312643,digital,to-read,2024/06/13,"","",0,"",,,,,,,,,"",,"",No
Ecstasy is Necessary: A Practical Guide,Barbara Carrellas,"",,,did-not-finish,2022/01/10,"","",0,"",,,,,,,,,"",,"",No
The Demon King,Cinda Williams Chima,"",9781423118237,hardcover,read,2021/12/25,"","",1,"",,,,,,,,,"",,"",No
How to Be Eaten,Maria Adelmann,"",9780316450843,hardcover,to-read,2024/01/22,"","",0,"",,,,,,,,,"",,"",No
The Picture of Dorian Gray,Oscar Wilde,"",9798792366251,paperback,to-read,2024/06/13,"","",0,"",,,,,,,,,"",,"",No
Howl's Moving Castle,Diana Wynne Jones,"",9780064410342,paperback,read,2021/03/16,2023/11/21,"2023/11/20-2023/11/21, 2021/02/18",2,"",,,,,,,5.0,,"",,"",No
Wise Blood,Flannery O'Connor,"",9780374530631,paperback,to-read,2024/04/07,"","",0,"",,,,,,,,,"",,"",No
Salt & Broom,Sharon Lynn Fisher,"",9781662515682,digital,to-read,2023/12/11,"","",0,"",,,,,,,,,"",,"",No
Digital Minimalism: Choosing a Focused Life in a Noisy World,Cal Newport,"",9780525536543,digital,to-read,2023/01/11,"","",0,"",,,,,,,,,"",,"",No
Memoirs of a Dutiful Daughter,Simone de Beauvoir,James Kirkup (Translator),9780060825195,paperback,to-read,2023/08/16,"","",0,"",,,,,,,,,"",,"",No
All Fours,Miranda July,"",9780593190265,hardcover,to-read,2024/05/26,"","",0,"",,,,,,,,,"",,"",No
The Martian,Andy Weir,"",9780804139021,hardcover,read,2021/03/16,"","",1,"",,,,,,,4.0,,"",,"",No
Alias Grace,Margaret Atwood,"",9780385475716,hardcover,to-read,2024/08/12,"","",0,"",,,,,,,,,"",,"",No
This Is How You Lose the Time War,"Max Gladstone, Amal El-Mohtar","",9781534431010,digital,to-read,2023/08/29,"","",0,"",,,,,,,,,"",,"",No
King of Wrath,Ana Huang,"",9780349436326,paperback,to-read,2024/07/30,"","",0,"",,,,,,,,,"",,"",No
Gravity's Rainbow,Thomas Pynchon,Frank Miller (Illustrator),9780143039945,paperback,to-read,2024/04/04,"","",0,"",,,,,,,,,"",,"",No
Babel,R.F. Kuang,"",9780008501815,hardcover,read,2023/09/19,2024/06/14,2024/06/09-2024/06/14,1,"",,"","","","","",4.0,"","","","",No
The Final Empire,Brandon Sanderson,"",9780765311788,hardcover,paused,2025/02/07,"","",0,"",,,,,,,,,"",,"",No
"The Primacy of Perception: And Other Essays on Phenomenological Psychology, the Philosophy of Art, History and Politics","Nancy Metzel, William Cobb, John J. Wild, John Flodstrom, James M. Edie, Maurice Merleau-Ponty, Arleen B. Dallery","",,,to-read,2023/08/16,"","",0,"",,,,,,,,,"",,"",No
Norwegian Wood,Haruki Murakami,Jay Rubin (Translator),9780375704024,paperback,to-read,2024/06/13,"","",0,"",,,,,,,,,"",,"",No
"The Long Way to a Small, Angry Planet",Becky Chambers,"",9781500453305,paperback,read,2024/01/06,2024/01/01,2023/12/30-2024/01/01,1,"lighthearted, adventurous",medium,Character,Yes,Yes,Yes,No,4.5,"","","","",No
Shadow and Ember – Eine Liebe im Schatten: Roman,Jennifer L. Armentrout,Sonja Rebernik-Heidegger,"",digital,to-read,2023/08/27,"","",0,"",,,,,,,,,"",,"",No
A Little Life,Hanya Yanagihara,"",9780804172707,paperback,to-read,2023/02/13,"","",0,"",,,,,,,,,"",,"",No
You Are Here,David Nicholls,"",9781444715453,paperback,to-read,2024/07/08,"","",0,"",,,,,,,,,"",,"",No
From Blood and Ash,Jennifer L. Armentrout,"",9781952457012,digital,read,2021/08/04,"","",1,"",,,,,,,4.0,,"",,"",No
The Dutch House,Ann Patchett,"",9780062963673,hardcover,read,2025/02/16,2025/03/02,2025/02/20-2025/03/02,1,"",,,,,,,,,"",,"",No
Stillness Is the Key,Ryan Holiday,"",9780525538585,hardcover,to-read,2022/07/04,"","",0,"",,,,,,,,,"",,"",No
The Boy Who Lied,Kim Slater,"",9781509842285,paperback,to-read,2023/09/28,"","",0,"",,,,,,,,,"",,"",No
Ninth House,Leigh Bardugo,"",9781250313072,hardcover,did-not-finish,2023/02/13,"","",0,"",,,,,,,,,"",,"",No
"The Boy, the Mole, the Fox and the Horse",Charlie Mackesy,"",9781529105100,hardcover,to-read,2023/08/09,"","",0,"",,,,,,,,,"",,"",No
Invisible Women: Data Bias in a World Designed for Men,Caroline Criado Pérez,"",9781419735219,paperback,to-read,2022/06/30,"","",0,"",,,,,,,,,"",,"",No
Research for People Who (Think They) Would Rather Create,Dirk Vis,"",9789493148437,paperback,to-read,2024/01/21,"","",0,"",,,,,,,,,"",,"",No
Ash,Malinda Lo,"",9780316040099,hardcover,to-read,2024/12/22,"","",0,"",,,,,,,,,"",,"",No
Landscape with Invisible Hand,M.T. Anderson,"",9780763687892,hardcover,to-read,2024/07/16,"","",0,"",,,,,,,,,"",,"",No
"At the Existentialist Café: Freedom, Being, and Apricot Cocktails",Sarah Bakewell,"",9780099554882,paperback,read,2023/08/16,2023/08/16,2022/12/16-2023/08/16,1,"",,,,,,,,,"",,"",No
The Anthropologists,Ayşegül Savaş,"",9781639733064,hardcover,to-read,2024/10/25,"","",0,"",,,,,,,,,"",,"",No
Dr. Faustus,Christopher Marlowe,"",9780486282084,paperback,to-read,2025/05/10,"","",0,"",,,,,,,,,"",,"",No
One Hundred Years of Solitude,Gabriel García Márquez,Gregory Rabassa (Translator),9780061120091,paperback,currently-reading,2024/03/04,"","",0,"",,,,,,,,,"",,"",No
The Housemaid,Freida McFadden,"",B09TWSRMCB,digital,to-read,2024/07/30,"","",0,"",,,,,,,,,"",,"",No
"The Romance of Reality: How the Universe Organizes Itself to Create Life, Consciousness, and Cosmic Complexity","Bobby Azarian, Bobby Azarian","",9781637740446,hardcover,to-read,2024/06/10,"","",0,"",,,,,,,,,"",,"",No
The Invasion,K.A. Applegate,"",9780590629775,paperback,to-read,2024/08/03,"","",0,"",,,,,,,,,"",,"",No
Piranesi,Susanna Clarke,"",9781635575637,hardcover,read,2022/02/02,2022/07/11,2022/07/11-2022/07/11,1,"dark, mysterious, reflective, challenging, hopeful, adventurous",medium,Character,Yes,Yes,No,No,5.0,<div>I love love love love this book. It’s the kind of book where you cry at the ending not because it’s sad but because it has shown such a true reflection of emotions.</div>,"","","",No
If You Could See the Sun,Ann Liang,"",9781335915849,hardcover,to-read,2024/11/19,"","",0,"",,,,,,,,,"",,"",No
Quarterlife: The Search for Self in Early Adulthood,Satya Doyle Byock,"",9780525511663,hardcover,to-read,2022/10/19,"","",0,"",,,,,,,,,"",,"",No
Beautyland,Marie-Helene Bertino,"",9780374109288,hardcover,to-read,2025/03/11,"","",0,"",,,,,,,,,"",,"",No
Brideshead Revisited,Evelyn Waugh,"",9780316926348,paperback,to-read,2023/12/05,"","",0,"",,,,,,,,,"",,"",No
The Discomfort of Evening,Lucas Rijneveld,Michele Hutchison (Translator),9780571349364,paperback,to-read,2022/09/19,"","",0,"",,,,,,,,,"",,"",No
Wuthering Heights,Emily Brontë,"",0393978893,paperback,to-read,2023/05/16,"","",0,"",,,,,,,,,"",,"",No
History of a Pleasure Seeker,Richard Mason,"",9780297863052,paperback,to-read,2024/03/20,"","",0,"",,,,,,,,,"",,"",No
Klara and the Sun,Kazuo Ishiguro,"",9780593318171,hardcover,to-read,2023/03/09,"","",0,"",,,,,,,,,"",,"",No
Verity,Colleen Hoover,"",9781538724743,digital,to-read,2021/08/01,"","",0,"",,,,,,,,,"",,"",No
The Housekeeper and the Professor,Yōko Ogawa,Stephen Snyder (Translator),9780312427801,paperback,read,2022/02/02,2025/05/13,2025/02/13-2025/05/13,1,"",,,,,,,,,"",,"",No
Geek Love,Katherine Dunn,"",9780375713347,paperback,to-read,2024/12/13,"","",0,"",,,,,,,,,"",,"",No
Jade War,Fonda Lee,"",9780316440929,hardcover,read,2022/02/07,2022/02/07,2022/02/07-2022/02/07,1,"",,,,,,,,,"",,"",No
Project Hail Mary,Andy Weir,"",9780593135204,hardcover,read,2022/02/17,2022/02/17,2022/02/17-2022/02/17,1,"",,,,,,,,,"",,"",No
The Bookshop on the Corner,Jenny Colgan,"",9780062467263,digital,read,2023/08/06,2023/08/06,2023/08/06-2023/08/06,1,"",,,,,,,,,"",,"",No
The 5 AM Club: Own Your Morning. Elevate Your Life,Robin S. Sharma,"",9781443456630,digital,to-read,2022/06/07,"","",0,"",,,,,,,,,"",,"",No
Six of Crows,Leigh Bardugo,"",9781627792127,hardcover,read,2022/01/04,"","",1,"",,,,,,,,,"",,"",No
"Fortunately, the Milk",Neil Gaiman,Skottie Young (Illustrator),9780062224071,hardcover,read,2023/08/11,2023/08/11,2023/08/09-2023/08/11,1,"",,,,,,,,,"",,"",No
The Possessed: Adventures with Russian Books and the People Who Read Them,Elif Batuman,"",9780374532185,paperback,to-read,2024/08/04,"","",0,"",,,,,,,,,"",,"",No
The House in the Cerulean Sea,TJ Klune,Daniel Henning (Narrator),9781529087963,audio,to-read,2021/08/06,"","",0,"",,,,,,,,,"",,"",No
Orlando,Virginia Woolf,"",9780141184272,paperback,to-read,2024/12/13,"","",0,"",,,,,,,,,"",,"",No
JPod,Douglas Coupland,"",9781596911055,paperback,to-read,2023/08/22,"","",0,"",,,,,,,,,"",,"",No
"The Myth of Normal: Trauma, Illness & Healing in a Toxic Culture",Gabor Maté,Daniel Maté,9781785042713,hardcover,to-read,2023/04/08,"","",0,"",,,,,,,,,"",,"",No
North Woods,Daniel Mason,"",9780593597033,hardcover,read,2025/05/05,2025/05/05,2025/04/05-2025/05/05,1,"",,,,,,,,,"",,"",No
The Potrait of a lady,Henry James,"",B095SC14NH,digital,to-read,2024/08/02,"","",0,"",,,,,,,,,"",,"",No
Girl Juice,Benji Nate,"",9781770466630,paperback,read,2024/12/10,2024/12/17,2024/12/15-2024/12/17,1,"lighthearted, funny, adventurous",,"","","","","",4.5,"","","","",No
The Unbearable Lightness of Being,Milan Kundera,Michael Henry Heim (Translator),9780571224388,paperback,to-read,2023/08/18,"","",0,"",,,,,,,,,"",,"",No
"You Deserve This Sh!t: Get Unstuck, Find Your Path, and Become the Best Version of Yourself",Jordan Tarver,"",9781005517021,digital,to-read,2022/07/04,"","",0,"",,,,,,,,,"",,"",No
Under the Whispering Door,TJ Klune,"",9781250217349,hardcover,to-read,2024/12/15,"","",0,"",,,,,,,,,"",,"",No
Paul Takes the Form of a Mortal Girl,Andrea Lawlor,"",9780986086991,paperback,to-read,2023/08/29,"","",0,"",,,,,,,,,"",,"",No
"Never Eat Alone: And Other Secrets to Success, One Relationship at a Time",Keith Ferrazzi,"",9780385512053,hardcover,to-read,2022/10/09,"","",0,"",,,,,,,,,"",,"",No
The Raven Boys,Maggie Stiefvater,"",9780545424929,hardcover,read,2022/08/02,2022/08/01,2022/07/26-2022/08/01,1,"",,,,,,,,,"",,"",No
The Sandman Vol. 1: Preludes & Nocturnes,Neil Gaiman,"Mike Dringenberg (Illustrator), Sam Kieth (Illustrator), Malcolm Jones III (Illustrator), Karen Berger (Contributor)",9781563892271,hardcover,to-read,2021/08/09,"","",0,"",,,,,,,,,"",,"",No
The Cruel Prince,Holly Black,"",9780316310277,hardcover,to-read,2022/07/30,"","",0,"",,,,,,,,,"",,"",No
The Adventures of Amina Al-Sirafi,S.A. Chakraborty,"",9780008381349,hardcover,to-read,2023/07/25,"","",0,"",,,,,,,,,"",,"",No
Luster,Raven Leilani,"",9780374194321,hardcover,to-read,2024/06/13,"","",0,"",,,,,,,,,"",,"",No
The Candy House,Jennifer Egan,"",9781476716763,hardcover,read,2024/01/15,2024/01/17,2024/01/15-2024/01/17,1,"sad, mysterious, emotional, inspiring, hopeful",medium,Character,Yes,Yes,Yes,Yes,4.75,<div>I feel like I need to read this book a hundred more times</div>,"","","",No
"Briefly, A Delicious Life",Nell Stevens,"",9781982190941,hardcover,to-read,2022/09/19,"","",0,"",,,,,,,,,"",,"",No
Jade City,Fonda Lee,"",9780316440882,paperback,read,2022/01/14,2022/01/28,2022/01/28-2022/01/28,2,"",,,,,,,,,"",,"",No
Normal People,Sally Rooney,"",9781984822178,hardcover,read,2022/03/03,2023/09/09,2023/09/06-2023/09/09,1,"",,,,,,,,,"",,"",No
Recursion,Blake Crouch,"",9781524759780,hardcover,to-read,2025/05/03,"","",0,"",,,,,,,,,"",,"",No
The Wall,Marlen Haushofer,Shaun Whiteside (Translator),9781573440943,paperback,to-read,2024/11/19,"","",0,"",,,,,,,,,"",,"",No
The Lightning Thief,Rick Riordan,Jesse Bernstein (Narrator),9780307245304,audio,read,2021/03/16,2021/08/08,2021/08/08,2,"",,,,,,,5.0,,"",,"",No
The Untold Tale,J.M. Frey,"",9781942111276,digital,to-read,2023/09/30,"","",0,"",,,,,,,,,"",,"",No
Bride,Ali Hazelwood,"",9780593550403,paperback,read,2024/07/02,2024/07/02,2024/07/01-2024/07/02,1,"",,"","","","","",5.0,"","","","",No
Snow,Orhan Pamuk,Maureen Freely (Translator),0375706860,paperback,to-read,2022/03/29,"","",0,"",,,,,,,,,"",,"",No
Call Me By Your Name,André Aciman,"",9781786495259,paperback,to-read,2021/03/16,"","",0,"",,,,,,,,,"",,"",No
"The Second Machine Age: Work, Progress, and Prosperity in a Time of Brilliant Technologies","Andrew McAfee, Erik Brynjolfsson","",9780393350647,paperback,to-read,2022/08/12,"","",0,"",,,,,,,,,"",,"",No
Doppelganger,Naomi Klein,"",9780374610326,hardcover,to-read,2024/03/31,"","",0,"",,,,,,,,,"",,"",No
Love in the Big City,Sang Young Park,Anton Hur (Translator),9780802158789,hardcover,read,2023/08/08,2023/08/29,2023/08/18-2023/08/29,1,"",,,,,,,,,"",,"",No
By Grand Central Station I Sat Down and Wept,Elizabeth Smart,"",9780679738046,paperback,to-read,2023/08/29,"","",0,"",,,,,,,,,"",,"",No
Pure Colour,Sheila Heti,"",9780374603946,hardcover,to-read,2024/06/13,"","",0,"",,,,,,,,,"",,"",No
You Shouldn't Have Come Here,Jeneva Rose,"",9798212182805,hardcover,to-read,2024/09/22,"","",0,"",,,,,,,,,"",,"",No
Less Is Lost,Andrew Sean Greer,"",9780316301398,hardcover,to-read,2022/09/07,"","",0,"",,,,,,,,,"",,"",No
The Hill We Climb: An Inaugural Poem for the Country,Amanda Gorman,"",9780593465271,hardcover,read,2021/12/25,"","",1,"",,,,,,,,,"",,"",No
The Fault in Our Stars,John Green,"",9780142424179,paperback,read,2021/03/16,"","",1,"",,,,,,,4.0,,"",,"",No
Stories of Your Life and Others,Ted Chiang,"",9780330426640,paperback,read,2025/01/12,2025/01/22,2025/01/12-2025/01/22,1,"challenging, adventurous",,"","","","","",4.0,<div>Audiobook. I like short stories! But some of these were too telling not showing. But the sci fi ideas were cool</div>,"","","",No
Bloom,Kevin Panetta,Savanna Ganucheau (Illustrator),9781626726413,paperback,read,2024/04/23,2024/04/23,2024/04/22-2024/04/23,1,"",,,,,,,,,"",,"",No
The Hole,Hiroko Oyamada,David Boyd (Translator),9780811228879,paperback,to-read,2024/11/19,"","",0,"",,,,,,,,,"",,"",No
Paladin's Strength,T. Kingfisher,"",9781614505303,hardcover,read,2024/05/03,2024/06/06,2024/06/03-2024/06/06,1,"",,,,,,,,,"",,"",No
The Offing,Benjamin Myers,"",9781526611314,hardcover,to-read,2024/07/29,"","",0,"",,,,,,,,,"",,"",No
Things Have Gotten Worse Since We Last Spoke,Eric LaRocca,"",9781951658137,digital,read,2022/02/01,2022/02/07,2022/02/07-2022/02/07,2,"",,,,,,,,,"",,"",No
We Were Liars,E. Lockhart,"",9780385741262,hardcover,to-read,2021/06/21,"","",0,"",,,,,,,,,"",,"",No
Pachinko,Min Jin Lee,"",9781455563913,digital,read,2023/11/06,2023/11/06,2023/11/01-2023/11/06,1,"tense, sad, reflective, emotional",slow,Character,Yes,Yes,Yes,Yes,4.0,<div>Phenomenological&nbsp;</div>,"","","",No
Our Share of Night,Mariana Enríquez,Megan McDowell (Translator),9781783786732,hardcover,to-read,2023/11/04,"","",0,"",,,,,,,,,"",,"",No
Fourth Wing,Rebecca Yarros,"",9781649374042,hardcover,read,2023/10/17,2023/10/20,2023/10/18-2023/10/20,1,"",,,,,,,,,"",,"",No
Gideon the Ninth,Tamsyn Muir,"",9781250313195,hardcover,to-read,2022/07/19,"","",0,"",,,,,,,,,"",,"",No
"Self and Other: Exploring Subjectivity, Empathy, and Shame",Dan Zahavi,"",9780199590681,hardcover,to-read,2025/03/30,"","",0,"",,,,,,,,,"",,"",No
"Watchmen #1: At Midnight, All The Agents....","John Higgins, Len Wein, Dave Gibbons, Alan Moore","","",paperback,read,2021/03/16,"","",1,"",,,,,,,4.0,,"",,"",No
Reason and Emotion,John Macmurray,"",9781573927383,paperback,to-read,2025/01/01,"","",0,"",,,,,,,,,"",,"",No
Empress of All Seasons,Emiko Jean,"",9780544530942,hardcover,to-read,2024/04/07,"","",0,"",,,,,,,,,"",,"",No
A Pho Love Story,Loan Le,"",9781534441934,hardcover,to-read,2021/09/29,"","",0,"",,,,,,,,,"",,"",No
Mutual Aid: Building Solidarity in This Crisis (And the Next),Dean Spade,"","",paperback,to-read,2022/01/21,"","",0,"",,,,,,,,,"",,"",No
"Nudge: Improving Decisions about Health, Wealth, and Happiness","Cass R. Sunstein, Richard H. Thaler","",9780143115267,paperback,to-read,2022/08/12,"","",0,"",,,,,,,,,"",,"",No
How to Behave in a Crowd,Camille Bordas,"",9780451497543,hardcover,to-read,2023/12/19,"","",0,"",,,,,,,,,"",,"",No
Routledge Philosophy Guidebook to Merleau-Ponty and Phenomenology of Perception,Komarine Romdenh-Romluc,"",9780415343152,paperback,to-read,2023/08/16,"","",0,"",,,,,,,,,"",,"",No
The Perks of Being a Wallflower,Stephen Chbosky,Noah Galvin (Narrator),9781797106250,audio,read,2021/03/16,"","",1,"",,,,,,,4.0,,"",,"",No
The Little House,Kyōko Nakajima,Ginny Tapley Takemori (Translator),9781850773160,paperback,to-read,2023/08/01,"","",0,"",,,,,,,,,"",,"",No
Conversations with Friends,Sally Rooney,"",9780451499066,paperback,to-read,2022/07/02,"","",0,"",,,,,,,,,"",,"",No
Small Worlds,Caleb Azumah Nelson,"",9780241574348,hardcover,to-read,2023/08/29,"","",0,"",,,,,,,,,"",,"",No
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,"",9780593321201,hardcover,read,2023/02/07,2023/02/07,2023/02/07-2023/02/07,1,"",,,,,,,,,"",,"",No
The Razor's Edge,W. Somerset Maugham,"",9781400034208,paperback,to-read,2024/06/13,"","",0,"",,,,,,,,,"",,"",No
The Midnight Lie,Marie Rutkoski,"",9780374306380,hardcover,read,2021/08/03,2021/08/08,2021/08/08,2,"",,,,,,,,,"",,"",No
The Sprite and the Gardener,"Rii Abrego, Joe Whitt",Rii Abrego (Illustrator),9781620109069,hardcover,read,2024/04/15,2024/04/15,2024/04/15-2024/04/15,1,"lighthearted, hopeful",medium,Character,Yes,Yes,Yes,No,4.0,,"","","",No
"Red, White & Royal Blue",Casey McQuiston,"",9781250316776,paperback,read,2021/03/16,"","",1,"",,,,,,,4.0,,"",,"",No
A Poetry Handbook,Mary Oliver,"",9780156724005,paperback,to-read,2022/06/26,"","",0,"",,,,,,,,,"",,"",No
"Every Time I Find the Meaning of Life, They Change It: Wisdom of the Great Philosophers on How to Live",Daniel Klein,"",,digital,to-read,2024/01/05,"","",0,"",,,,,,,,,"",,"",No
Kairos,Jenny Erpenbeck,Michael Hofmann (Translator),9780811229340,hardcover,to-read,2025/03/26,"","",0,"",,,,,,,,,"",,"",No
The Essential Rumi,Rumi,Coleman Barks (Translator),9780062509598,paperback,to-read,2024/08/02,"","",0,"",,,,,,,,,"",,"",No
"Why Fish Don't Exist: A Story of Loss, Love, and the Hidden Order of Life",Lulu Miller,Kate Samworth (Illustrator),9781501160349,paperback,read,2022/01/21,2022/03/22,2022/03/02-2022/03/22,1,"",,,,,,,,,"",,"",No
Into the Riverlands,Nghi Vo,"",9781250851420,hardcover,to-read,2024/08/01,"","",0,"",,,,,,,,,"",,"",No
The Golden Compass,Philip Pullman,"",9780679879244,hardcover,read,2021/03/16,"","",1,"",,,,,,,3.0,,"",,"",No
How I Live Now,Meg Rosoff,"",9780553376050,paperback,read,2023/08/08,"","",1,"",,,,,,,,,"",,"",No
Interview with the Vampire,Anne Rice,"",9780345476876,paperback,to-read,2024/08/04,"","",0,"",,,,,,,,,"",,"",No
Binti,Nnedi Okorafor,"",9780765384461,digital,read,2023/08/05,2023/08/05,2023/08/05-2023/08/05,1,"",,,,,,,,,"",,"",No
In Other Lands,Sarah Rees Brennan,"",9781618731203,hardcover,read,2023/11/30,"","",0,"",,,,,,,,,"",,"",No
